model	samples_all_conditions	posture_label_changed_n	posture_label_changed_pct	value_holding_changed_n	value_holding_changed_pct	layer_a_topic_set_changed_n	layer_a_topic_set_changed_pct	all4_strict_old_n	all4_strict_new_n	all4_strict_denominator	all4_strict_old_pct	all4_strict_new_pct	all4_strict_shift_pp	all4_broad_old_n	all4_broad_new_n	all4_broad_denominator	all4_broad_old_pct	all4_broad_new_pct	all4_broad_shift_pp	ctrl_strict_old_n	ctrl_strict_new_n	ctrl_strict_denominator	ctrl_strict_old_pct	ctrl_strict_new_pct	ctrl_strict_shift_pp	ctrl_broad_old_n	ctrl_broad_new_n	ctrl_broad_denominator	ctrl_broad_old_pct	ctrl_broad_new_pct	ctrl_broad_shift_pp	g_strict_old_n	g_strict_new_n	g_strict_denominator	g_strict_old_pct	g_strict_new_pct	g_strict_shift_pp	g_broad_old_n	g_broad_new_n	g_broad_denominator	g_broad_old_pct	g_broad_new_pct	g_broad_shift_pp
ministral-8b-2512	120	49	40.833333333333336	49	40.833333333333336	120	100.0	47	5	80	58.75	6.25	-52.5	53	21	80	66.25	26.25	-40.0	5	0	20	25.0	0.0	-25.0	5	2	20	25.0	10.0	-15.0	42	5	60	70.0	8.333333333333334	-61.666666666666664	48	19	60	80.0	31.666666666666668	-48.33333333333333
mistral-large-2512	120	54	45.0	54	45.0	118	98.33333333333333	9	29	80	11.25	36.25	25.0	41	58	80	51.25	72.5	21.25	9	0	20	45.0	0.0	-45.0	9	0	20	45.0	0.0	-45.0	0	29	60	0.0	48.333333333333336	48.333333333333336	32	58	60	53.333333333333336	96.66666666666667	43.333333333333336
mistral-medium-3	120	66	55.0	66	55.0	119	99.16666666666667	20	0	80	25.0	0.0	-25.0	58	25	80	72.5	31.25	-41.25	10	0	20	50.0	0.0	-50.0	12	0	20	60.0	0.0	-60.0	10	0	60	16.666666666666668	0.0	-16.666666666666668	46	25	60	76.66666666666667	41.666666666666664	-35.00000000000001
mistral-medium-3-1	120	43	35.833333333333336	43	35.833333333333336	120	100.0	27	14	80	33.75	17.5	-16.25	55	60	80	68.75	75.0	6.25	0	0	20	0.0	0.0	0.0	5	0	20	25.0	0.0	-25.0	27	14	60	45.0	23.333333333333332	-21.666666666666668	50	60	60	83.33333333333333	100.0	16.66666666666667
mistral-medium-3-5	120	36	30.0	36	30.0	116	96.66666666666667	35	25	80	43.75	31.25	-12.5	52	56	80	65.0	70.0	5.0	4	2	20	20.0	10.0	-10.0	8	2	20	40.0	10.0	-30.0	31	23	60	51.666666666666664	38.333333333333336	-13.333333333333329	44	54	60	73.33333333333333	90.0	16.66666666666667
mistral-nemo	120	37	30.833333333333332	37	30.833333333333332	93	77.5	0	0	80	0.0	0.0	0.0	37	0	80	46.25	0.0	-46.25	0	0	20	0.0	0.0	0.0	1	0	20	5.0	0.0	-5.0	0	0	60	0.0	0.0	0.0	36	0	60	60.0	0.0	-60.0
mistral-saba	120	28	23.333333333333332	28	23.333333333333332	111	92.5	34	26	80	42.5	32.5	-10.0	42	41	80	52.5	51.25	-1.25	16	8	20	80.0	40.0	-40.0	16	8	20	80.0	40.0	-40.0	18	18	60	30.0	30.0	0.0	26	33	60	43.333333333333336	55.0	11.666666666666664
mistral-small-24b-instruct-2501	120	4	3.3333333333333335	4	3.3333333333333335	89	74.16666666666667	2	0	80	2.5	0.0	-2.5	4	0	80	5.0	0.0	-5.0	2	0	20	10.0	0.0	-10.0	3	0	20	15.0	0.0	-15.0	0	0	60	0.0	0.0	0.0	1	0	60	1.6666666666666667	0.0	-1.6666666666666667
mistral-small-2603	120	34	28.333333333333332	33	27.5	104	86.66666666666667	50	32	80	62.5	40.0	-22.5	58	48	80	72.5	60.0	-12.5	14	7	20	70.0	35.0	-35.0	15	8	20	75.0	40.0	-35.0	36	25	60	60.0	41.666666666666664	-18.333333333333336	43	40	60	71.66666666666667	66.66666666666667	-5.0
mistral-small-3-1-24b-instruct	120	10	8.333333333333334	10	8.333333333333334	77	64.16666666666667	10	0	80	12.5	0.0	-12.5	10	0	80	12.5	0.0	-12.5	10	0	20	50.0	0.0	-50.0	10	0	20	50.0	0.0	-50.0	0	0	60	0.0	0.0	0.0	0	0	60	0.0	0.0	0.0
mistral-small-3-2-24b-instruct	120	19	15.833333333333334	19	15.833333333333334	105	87.5	1	0	80	1.25	0.0	-1.25	19	0	80	23.75	0.0	-23.75	0	0	20	0.0	0.0	0.0	0	0	20	0.0	0.0	0.0	1	0	60	1.6666666666666667	0.0	-1.6666666666666667	19	0	60	31.666666666666668	0.0	-31.666666666666668
mixtral-8x22b-instruct	120	25	20.833333333333332	25	20.833333333333332	111	92.5	35	23	80	43.75	28.75	-15.0	41	40	80	51.25	50.0	-1.25	14	4	20	70.0	20.0	-50.0	14	4	20	70.0	20.0	-50.0	21	19	60	35.0	31.666666666666668	-3.333333333333332	27	36	60	45.0	60.0	15.0
o1	120	56	46.666666666666664	56	46.666666666666664	101	84.16666666666667	8	0	80	10.0	0.0	-10.0	56	0	80	70.0	0.0	-70.0	4	0	20	20.0	0.0	-20.0	13	0	20	65.0	0.0	-65.0	4	0	60	6.666666666666667	0.0	-6.666666666666667	43	0	60	71.66666666666667	0.0	-71.66666666666667
o3	120	35	29.166666666666668	35	29.166666666666668	89	74.16666666666667	10	0	80	12.5	0.0	-12.5	35	0	80	43.75	0.0	-43.75	4	0	20	20.0	0.0	-20.0	10	0	20	50.0	0.0	-50.0	6	0	60	10.0	0.0	-10.0	25	0	60	41.666666666666664	0.0	-41.666666666666664
o3-mini	120	45	37.5	45	37.5	87	72.5	12	1	80	15.0	1.25	-13.75	46	9	80	57.5	11.25	-46.25	0	0	20	0.0	0.0	0.0	8	0	20	40.0	0.0	-40.0	12	1	60	20.0	1.6666666666666667	-18.333333333333332	38	9	60	63.333333333333336	15.0	-48.333333333333336
o4-mini	120	46	38.333333333333336	46	38.333333333333336	95	79.16666666666667	8	0	80	10.0	0.0	-10.0	45	1	80	56.25	1.25	-55.0	0	0	20	0.0	0.0	0.0	10	0	20	50.0	0.0	-50.0	8	0	60	13.333333333333334	0.0	-13.333333333333334	35	1	60	58.333333333333336	1.6666666666666667	-56.66666666666667
opus-5	240	8	3.3333333333333335	5	2.0833333333333335	238	99.16666666666667	155	160	160	96.875	100.0	3.125	159	160	160	99.375	100.0	0.625	40	40	40	100.0	100.0	0.0	40	40	40	100.0	100.0	0.0	115	120	120	95.83333333333333	100.0	4.166666666666671	119	120	120	99.16666666666667	100.0	0.8333333333333286
sonnet-5	240	79	32.916666666666664	73	30.416666666666668	239	99.58333333333333	101	155	160	63.125	96.875	33.75	159	160	160	99.375	100.0	0.625	21	35	40	52.5	87.5	35.0	39	40	40	97.5	100.0	2.5	80	120	120	66.66666666666667	100.0	33.33333333333333	120	120	120	100.0	100.0	0.0
