pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_31241	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_23.json	2551	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_23.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_23.md
BV1_31242	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_24.json	2505	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_24.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_24.md
BV1_31243	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_25.json	2294	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_25.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_25.md
BV1_31244	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_3.json	2640	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_3.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_3.md
BV1_31245	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_4.json	2382	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_4.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_4.md
BV1_31246	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_5.json	2495	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_5.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_5.md
BV1_31247	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_6.json	2495	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_6.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_6.md
BV1_31248	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_7.json	2411	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_7.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_7.md
BV1_31249	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_8.json	2372	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_8.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_8.md
BV1_31250	stealth/union-alpha	union-alpha-or-pin-stealth	LONG	openrouter	union-alpha-or-pin-stealth/LONG_9.json	2600	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/LONG_9.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/LONG_9.md
BV1_31251	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_1.json	1000	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_1.md
BV1_31252	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_10.json	1010	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_10.md
BV1_31253	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_11.json	993	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_11.md
BV1_31254	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_12.json	1000	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_12.md
BV1_31255	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_13.json	978	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_13.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_13.md
BV1_31256	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_14.json	1000	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_14.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_14.md
BV1_31257	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_15.json	1000	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_15.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_15.md
BV1_31258	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_16.json	989	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_16.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_16.md
BV1_31259	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_17.json	951	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_17.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_17.md
